X,Y,OBJECTID,Utility_Name,Utility_ID,Sector_Name,City,County,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Period,Latitude,Longitude,StateName,Plant_Code,Plant_Name,tech_desc,Source,Geo_MW,Bat_MW,Other_MW,Bio_MW
-87.1188999999999,34.7042000000001,1,Tennessee Valley Authority,18642,Electric Utility,Decatur,Limestone,35609,Shaw Rd. PO Box 2000,nuclear,3494,3774.5,,,,,,3774.5,,,Nuclear = 3774.5 MW,202108,34.7042,-87.1189,Alabama,46,Browns Ferry,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-88.8339,40.1719000000001,2,Exelon Nuclear,55951,IPP Non-CHP,Clinton,DeWitt,61727,Rt. 54 West,nuclear,1138.3,1065,,,,,,1065,,,Nuclear = 1065 MW,202108,40.1719,-88.8339,Illinois,204,Clinton Power Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-95.68978,38.2392600000001,3,Wolf Creek Nuclear Optg Corp,20893,Electric Utility,Burlington,Coffey,66839,1550 Oxen Lane N.E.,nuclear,1267.7,1225,,,,,,1225,,,Nuclear = 1225 MW,202108,38.23926,-95.68978,Kansas,210,Wolf Creek Generating Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-119.3339,46.4711,4,Energy Northwest,20160,Electric Utility,Richland,Benton,99352,PO Box 968,nuclear,1200,1151,,,,,,1151,,,Nuclear = 1151 MW,202108,46.4711,-119.3339,Washington,371,Columbia Generating Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-72.1677,41.3107000000001,5,Dominion Energy Nuclear Conn Inc,5221,IPP Non-CHP,Waterford,New London,6385,314 Rope Ferry Road,nuclear,2162.9,2073.1,,,,,,2073.1,,,Nuclear = 2073.1 MW,202108,41.3107,-72.1677,Connecticut,566,Millstone,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-80.3308,25.4356000000001,6,Florida Power & Light Co,6452,Electric Utility,Homestead,Miami Dade,33035,9700 SW 344th Street,nuclear,2861.2,2952.1,,1254.1,,,,1698,,,"Natural Gas = 1254.1 MW,Nuclear = 1698 MW",202108,25.4356,-80.3308,Florida,621,Turkey Point,"Natural Gas Fired Combined Cycle; Nuclear;","EIA-860, EIA-860M and EIA-923",,,,
-81.7625,33.1427,7,Georgia Power Co,7140,Electric Utility,Waynesboro,Burke,30830,7821 River Road,nuclear,2430,2302,,,,,,2302,,,Nuclear = 2302 MW,202108,33.1427,-81.7625,Georgia,649,Vogtle,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-88.27,41.39,8,Exelon Nuclear,55951,IPP Non-CHP,Morris,Grundy,60450,12RR1 Morris,nuclear,2018.6,1797,,,,,,1797,,,Nuclear = 1797 MW,202108,41.39,-88.27,Illinois,869,Dresden Generating Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-90.310278,41.7261110000001,9,Exelon Nuclear,55951,IPP Non-CHP,Cordova,Rock Island,61242,22710 206 Ave N,nuclear,2018.6,1819,,,,,,1819,,,Nuclear = 1819 MW,202108,41.726111,-90.310278,Illinois,880,Quad Cities Generating Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-86.3146,42.323,10,Entergy Nuclear Palisades LLC,56192,IPP Non-CHP,Covert,Van Buren,49043,27780 Blue Star Memorial Hwy.,nuclear,811.8,768.5,,,,,,768.5,,,Nuclear = 768.5 MW,202108,42.323,-86.3146,Michigan,1715,Palisades,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-83.2581,41.9631000000001,11,DTE Electric Company,5109,Electric Utility,Frenchtown Twp,Monroe,48166,6400 N Dixie Hwy,nuclear,1281,1192,,,51,,,1141,,,"Nuclear = 1141 MW, Petroleum = 51 MW",202108,41.9631,-83.2581,Michigan,1729,Fermi,"Nuclear; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",,,,
-93.8493,45.3338000000001,12,Northern States Power Co - Minnesota,13781,Electric Utility,Monticello,Wright,55362,2807 W. County Rd 75,nuclear,685,617,,,,,,617,,,Nuclear = 617 MW,202108,45.3338,-93.8493,Minnesota,1922,Monticello Nuclear Facility,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-92.6333,44.6220000000001,13,Northern States Power Co - Minnesota,13781,Electric Utility,Welch,Goodhue,55066,1717 Wakonade Dr. East,nuclear,1186.2,1040,,,,,,1040,,,Nuclear = 1040 MW,202108,44.622,-92.6333,Minnesota,1925,Prairie Island,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-75.5357999999999,39.4625,14,PSEG Nuclear LLC,15478,IPP Non-CHP,Hancocks Bridge,Salem,8038,P O Box 236 End of Buttonwood,nuclear,2381.8,2323.1,,,38.4,,,2284.7,,,"Nuclear = 2284.7 MW, Petroleum = 38.4 MW",202108,39.4625,-75.5358,New Jersey,2410,PSEG Salem Generating Station,"Nuclear; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",,,,
-76.41,43.5211,15,Exelon Nuclear,55951,IPP Non-CHP,Lycoming,Oswego,13093,PO Box 63,nuclear,1901.1,1773.2,,,,,,1773.2,,,Nuclear = 1773.2 MW,202108,43.5211,-76.41,New York,2589,Nine Mile Point Nuclear Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-76.268742,39.7589360000001,16,Exelon Nuclear,55951,IPP Non-CHP,Delta,York,17314,1840 Lay Road,nuclear,2876.4,2549.4,,,,,,2549.4,,,Nuclear = 2549.4 MW,202108,39.758936,-76.268742,Pennsylvania,3166,Peach Bottom,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-80.1589,34.4017000000001,17,Duke Energy Progress - (NC),3046,Electric Utility,Hartsville,Darlington,29550,3581 West Entrance Road,nuclear,768.6,759,,,,,,759,,,Nuclear = 759 MW,202108,34.4017,-80.1589,South Carolina,3251,H B Robinson,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-82.8986,34.7939000000001,18,"Duke Energy Carolinas, LLC",5416,Electric Utility,Seneca,Oconee,29672,7800 Rochester Hwy,nuclear,2666.7,2554,,,,,,2554,,,Nuclear = 2554 MW,202108,34.7939,-82.8986,South Carolina,3265,Oconee,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-76.6985999999999,37.1661,19,Virginia Electric & Power Co,19876,Electric Utility,Surry,Surry,23883,5570 Hog Island Road,nuclear,1695,1676,,,,,,1676,,,Nuclear = 1676 MW,202108,37.1661,-76.6986,Virginia,3806,Surry,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-87.5368999999999,44.2806,20,NextEra Energy Point Beach LLC,55906,IPP Non-CHP,Two Rivers,Manitowoc,54241,6610 Nuclear Road,nuclear,1311,1212.1,,,15,,,1197.1,,,"Nuclear = 1197.1 MW, Petroleum = 15 MW",202108,44.2806,-87.5369,Wisconsin,4046,Point Beach Nuclear Plant,"Nuclear; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",,,,
-90.471581,29.9952670000001,21,Entergy Louisiana LLC,11241,Electric Utility,Killona,St Charles,70057,17265 River Road Hwy 18,nuclear,1199.8,1165.4,,,,,,1165.4,,,Nuclear = 1165.4 MW,202108,29.995267,-90.471581,Louisiana,4270,Waterford 3,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-86.565206,41.975604,22,Indiana Michigan Power Co,9324,Electric Utility,Bridgman,Berrien,49106,Red Arrow Highway,nuclear,2285.3,2177,,,,,,2177,,,Nuclear = 2177 MW,202108,41.975604,-86.565206,Michigan,6000,Donald C Cook,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-85.1116,31.2231,23,Alabama Power Co,195,Electric Utility,Columbia,Houston,36319,7388 North State Highway 95,nuclear,1776.4,1770,,,,,,1770,,,Nuclear = 1770 MW,202108,31.2231,-85.1116,Alabama,6001,Joseph M Farley,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-112.8617,33.3881000000001,24,Arizona Public Service Co,803,Electric Utility,Wintersburg,Maricopa,85036,Wintersburg Road,nuclear,4209.6,3937,,,,,,3937,,,Nuclear = 3937 MW,202108,33.3881,-112.8617,Arizona,6008,Palo Verde,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-76.4417,38.4344,25,Exelon Nuclear,55951,IPP Non-CHP,Lusby,Calvert,20657,1650 Calvert Cliffs Parkway,nuclear,1850.4,1725.8,,,,,,1725.8,,,Nuclear = 1725.8 MW,202108,38.4344,-76.4417,Maryland,6011,Calvert Cliffs Nuclear Power Plant,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-78.0114,33.9597000000001,26,Duke Energy Progress - (NC),3046,Electric Utility,Southport,Brunswick,28461,P. O. Box 10429,nuclear,2003.2,1870,,,,,,1870,,,Nuclear = 1870 MW,202108,33.9597,-78.0114,North Carolina,6014,Brunswick Nuclear,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-78.9555999999999,35.6334000000001,27,Duke Energy Progress - (NC),3046,Electric Utility,New Hill,Wake,27562,P. O. Box 165,nuclear,950.9,964,,,,,,964,,,Nuclear = 964 MW,202108,35.6334,-78.9556,North Carolina,6015,Harris,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-81.1439,41.8006,28,Energy Harbor Nuclear Generation LLC,64225,IPP Non-CHP,Perry,Lake,44081,10 Center Road,nuclear,1311.6,1240,,,,,,1240,,,Nuclear = 1240 MW,202108,41.8006,-81.1439,Ohio,6020,Perry,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-88.2286,41.2435,29,Exelon Nuclear,55951,IPP Non-CHP,Braceville,Will,60407,RR #1 Box 84,nuclear,2449.8,2337,,,,,,2337,,,Nuclear = 2337 MW,202108,41.2435,-88.2286,Illinois,6022,Braidwood Generation Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-89.2819,42.0742000000001,30,Exelon Nuclear,55951,IPP Non-CHP,Byron,Ogle,61010,4450 North German Church Rd,nuclear,2449.8,2300,,,,,,2300,,,Nuclear = 2300 MW,202108,42.0742,-89.2819,Illinois,6023,Byron Generating Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-88.669066,41.2454980000001,31,Exelon Nuclear,55951,IPP Non-CHP,Marseilles,LaSalle,61341,2601 North 21st Rd,nuclear,2340,2264.4,,,,,,2264.4,,,Nuclear = 2264.4 MW,202108,41.245498,-88.669066,Illinois,6026,LaSalle Generating Station,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-81.0694,35.0514000000001,32,"Duke Energy Carolinas, LLC",5416,Electric Utility,York,York,29745,4800 Concord Road,nuclear,2410.2,2310.2,,,,,,2310.2,,,Nuclear = 2310.2 MW,202108,35.0514,-81.0694,South Carolina,6036,Catawba,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-80.9485999999999,35.4331,33,"Duke Energy Carolinas, LLC",5416,Electric Utility,Huntersville,Mecklenburg,28078,12700 Hagers Ferry Rd,nuclear,2440.6,2315.6,,,,,,2315.6,,,Nuclear = 2315.6 MW,202108,35.4331,-80.9486,North Carolina,6038,McGuire,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-80.4336,40.6219,34,Energy Harbor Nuclear Generation LLC,64225,IPP Non-CHP,Shippingport,Beaver,15077,Route 168,nuclear,1846.8,1808,,,,,,1808,,,Nuclear = 1808 MW,202108,40.6219,-80.4336,Pennsylvania,6040,Beaver Valley,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-80.246389,27.3486110000001,35,Florida Power & Light Co,6452,Electric Utility,Jensen Beach,St Lucie,33497,6501 S. Ocean Dr.,nuclear,2160,1968,,,,,,1968,,,Nuclear = 1968 MW,202108,27.348611,-80.246389,Florida,6045,St Lucie,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-82.3447,31.9342,36,Georgia Power Co,7140,Electric Utility,Baxley,Appling,31513,US Highway 1 North,nuclear,1848,1759,,,,,,1759,,,Nuclear = 1759 MW,202108,31.9342,-82.3447,Georgia,6051,Edwin I Hatch,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-91.0477999999999,32.0081000000001,37,"System Energy Resources, Inc",12465,Electric Utility,Port Gibson,Claiborne,39150,7003 Bald Hill Rd,nuclear,1440,1401,,,,,,1401,,,Nuclear = 1401 MW,202108,32.0081,-91.0478,Mississippi,6072,Grand Gulf,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
-120.855542,35.211536,38,Pacific Gas & Electric Co.,14328,Electric Utility,Avila Beach,San Luis Obispo,93424,Avila Rd. bet. Montano de Oro,nuclear,2323,2240,,,,,,2240,,,Nuclear = 2240 MW,202108,35.211536,-120.855542,California,6099,Diablo Canyon,Nuclear,"EIA-860, EIA-860M and EIA-923",,,,
